IDMesa,Freguesia,Partido,Votos Assembleia
31,Sao Sebastiao,Partido F,200
32,Sao Sebastiao,Partido A,104
32,Sao Sebastiao,Partido G,8
32,Sao Sebastiao,Partido C,245
32,Sao Sebastiao,Partido E,18
32,Sao Sebastiao,Partido F,126
33,Sao Sebastiao,Partido A,67
33,Sao Sebastiao,Partido G,7
33,Sao Sebastiao,Partido C,268
33,Sao Sebastiao,Partido E,20
33,Sao Sebastiao,Partido F,219
34,Sao Sebastiao,Partido A,86
34,Sao Sebastiao,Partido G,9
34,Sao Sebastiao,Partido C,222
34,Sao Sebastiao,Partido E,19
34,Sao Sebastiao,Partido F,145
35,Sao Sebastiao,Partido A,65
35,Sao Sebastiao,Partido G,19
35,Sao Sebastiao,Partido C,250
35,Sao Sebastiao,Partido E,35
35,Sao Sebastiao,Partido F,108
36,Sao Sebastiao,Partido A,19
36,Sao Sebastiao,Partido G,5
36,Sao Sebastiao,Partido C,67
36,Sao Sebastiao,Partido E,8
36,Sao Sebastiao,Partido F,19
37,Sao Sebastiao,Partido A,42
37,Sao Sebastiao,Partido G,9
37,Sao Sebastiao,Partido C,267
37,Sao Sebastiao,Partido E,22
37,Sao Sebastiao,Partido F,199
38,Sao Sebastiao,Partido A,63
38,Sao Sebastiao,Partido G,3
38,Sao Sebastiao,Partido C,286
38,Sao Sebastiao,Partido E,18
38,Sao Sebastiao,Partido F,153
39,Sao Sebastiao,Partido A,60
39,Sao Sebastiao,Partido G,7
39,Sao Sebastiao,Partido C,243
39,Sao Sebastiao,Partido E,19
39,Sao Sebastiao,Partido F,99
40,Sao Sebastiao,Partido A,23
40,Sao Sebastiao,Partido G,3
40,Sao Sebastiao,Partido C,94
40,Sao Sebastiao,Partido E,13
40,Sao Sebastiao,Partido F,48
41,Sao Sebastiao,Partido A,69
41,Sao Sebastiao,Partido G,7
41,Sao Sebastiao,Partido C,336
41,Sao Sebastiao,Partido E,16
41,Sao Sebastiao,Partido F,135
42,Sao Sebastiao,Partido A,25
42,Sao Sebastiao,Partido G,6
42,Sao Sebastiao,Partido C,109
42,Sao Sebastiao,Partido E,11
42,Sao Sebastiao,Partido F,39
43,Sao Sebastiao,Partido A,64
43,Sao Sebastiao,Partido G,12
43,Sao Sebastiao,Partido C,325
43,Sao Sebastiao,Partido E,20
43,Sao Sebastiao,Partido F,148
44,Sao Sebastiao,Partido A,55
44,Sao Sebastiao,Partido G,7
44,Sao Sebastiao,Partido C,334
44,Sao Sebastiao,Partido E,28
44,Sao Sebastiao,Partido F,164
45,Sao Sebastiao,Partido A,56
45,Sao Sebastiao,Partido G,16
45,Sao Sebastiao,Partido C,260
45,Sao Sebastiao,Partido E,34
45,Sao Sebastiao,Partido F,122
46,Sao Sebastiao,Partido A,80
46,Sao Sebastiao,Partido G,25
46,Sao Sebastiao,Partido C,284
46,Sao Sebastiao,Partido E,47
46,Sao Sebastiao,Partido F,85
47,Sao Sebastiao,Partido A,75
47,Sao Sebastiao,Partido G,17
47,Sao Sebastiao,Partido C,244
47,Sao Sebastiao,Partido E,46
47,Sao Sebastiao,Partido F,103
48,Sao Sebastiao,Partido A,36
48,Sao Sebastiao,Partido G,9
48,Sao Sebastiao,Partido C,164
48,Sao Sebastiao,Partido E,23
48,Sao Sebastiao,Partido F,68
49,Sao Sebastiao,Partido A,67
49,Sao Sebastiao,Partido G,7
49,Sao Sebastiao,Partido C,362
49,Sao Sebastiao,Partido E,17
49,Sao Sebastiao,Partido F,212
50,Sao Sebastiao,Partido A,49
50,Sao Sebastiao,Partido G,6
50,Sao Sebastiao,Partido C,313
50,Sao Sebastiao,Partido E,23
50,Sao Sebastiao,Partido F,124
51,Sao Sebastiao,Partido A,48
51,Sao Sebastiao,Partido G,11
51,Sao Sebastiao,Partido C,286
51,Sao Sebastiao,Partido E,22
51,Sao Sebastiao,Partido F,99
52,Sao Sebastiao,Partido A,51
52,Sao Sebastiao,Partido G,14
52,Sao Sebastiao,Partido C,248
52,Sao Sebastiao,Partido E,24
52,Sao Sebastiao,Partido F,89
53,Sao Sebastiao,Partido A,46
53,Sao Sebastiao,Partido G,13
53,Sao Sebastiao,Partido C,277
53,Sao Sebastiao,Partido E,16
53,Sao Sebastiao,Partido F,95
54,Sao Sebastiao,Partido A,36
54,Sao Sebastiao,Partido G,6
54,Sao Sebastiao,Partido C,219
54,Sao Sebastiao,Partido E,21
54,Sao Sebastiao,Partido F,83
55,Sao Sebastiao,Partido A,2
55,Sao Sebastiao,Partido G,1
55,Sao Sebastiao,Partido C,78
55,Sao Sebastiao,Partido E,5
55,Sao Sebastiao,Partido F,18
56,Sao Sebastiao,Partido A,13
56,Sao Sebastiao,Partido G,3
56,Sao Sebastiao,Partido C,122
56,Sao Sebastiao,Partido E,5
56,Sao Sebastiao,Partido F,39
57,Sao Sebastiao,Partido A,43
57,Sao Sebastiao,Partido G,15
57,Sao Sebastiao,Partido C,346
57,Sao Sebastiao,Partido E,15
57,Sao Sebastiao,Partido F,124
58,Sao Sebastiao,Partido A,73
58,Sao Sebastiao,Partido G,7
58,Sao Sebastiao,Partido C,171
58,Sao Sebastiao,Partido E,18
58,Sao Sebastiao,Partido F,93
59,Sao Sebastiao,Partido A,42
59,Sao Sebastiao,Partido G,5
59,Sao Sebastiao,Partido C,212
59,Sao Sebastiao,Partido E,20
59,Sao Sebastiao,Partido F,106
60,Uniao de Freguesias de Setubal,Partido A,94
60,Uniao de Freguesias de Setubal,Partido E,24
60,Uniao de Freguesias de Setubal,Partido C,204
60,Uniao de Freguesias de Setubal,Partido F,91
60,Uniao de Freguesias de Setubal,Partido G,16
61,Uniao de Freguesias de Setubal,Partido A,17
61,Uniao de Freguesias de Setubal,Partido E,6
61,Uniao de Freguesias de Setubal,Partido C,88
61,Uniao de Freguesias de Setubal,Partido F,48
61,Uniao de Freguesias de Setubal,Partido G,4
62,Uniao de Freguesias de Setubal,Partido A,8
62,Uniao de Freguesias de Setubal,Partido E,8
62,Uniao de Freguesias de Setubal,Partido C,93
62,Uniao de Freguesias de Setubal,Partido F,56
62,Uniao de Freguesias de Setubal,Partido G,2
63,Uniao de Freguesias de Setubal,Partido A,26
63,Uniao de Freguesias de Setubal,Partido E,4
63,Uniao de Freguesias de Setubal,Partido C,56
63,Uniao de Freguesias de Setubal,Partido F,44
63,Uniao de Freguesias de Setubal,Partido G,5
64,Uniao de Freguesias de Setubal,Partido A,222
64,Uniao de Freguesias de Setubal,Partido E,54
64,Uniao de Freguesias de Setubal,Partido C,192
64,Uniao de Freguesias de Setubal,Partido F,221
64,Uniao de Freguesias de Setubal,Partido G,7
65,Uniao de Freguesias de Setubal,Partido A,179
65,Uniao de Freguesias de Setubal,Partido E,49
65,Uniao de Freguesias de Setubal,Partido C,220
65,Uniao de Freguesias de Setubal,Partido F,156
65,Uniao de Freguesias de Setubal,Partido G,13
66,Uniao de Freguesias de Setubal,Partido A,149
66,Uniao de Freguesias de Setubal,Partido E,43
66,Uniao de Freguesias de Setubal,Partido C,239
66,Uniao de Freguesias de Setubal,Partido F,118
66,Uniao de Freguesias de Setubal,Partido G,23
67,Uniao de Freguesias de Setubal,Partido A,99
67,Uniao de Freguesias de Setubal,Partido E,34
67,Uniao de Freguesias de Setubal,Partido C,308
67,Uniao de Freguesias de Setubal,Partido F,208
67,Uniao de Freguesias de Setubal,Partido G,16
68,Uniao de Freguesias de Setubal,Partido A,90
68,Uniao de Freguesias de Setubal,Partido E,37
68,Uniao de Freguesias de Setubal,Partido C,227
68,Uniao de Freguesias de Setubal,Partido F,114
68,Uniao de Freguesias de Setubal,Partido G,15
69,Uniao de Freguesias de Setubal,Partido A,76
69,Uniao de Freguesias de Setubal,Partido E,38
69,Uniao de Freguesias de Setubal,Partido C,205
69,Uniao de Freguesias de Setubal,Partido F,70
69,Uniao de Freguesias de Setubal,Partido G,18
70,Uniao de Freguesias de Setubal,Partido A,61
70,Uniao de Freguesias de Setubal,Partido E,21
70,Uniao de Freguesias de Setubal,Partido C,332
70,Uniao de Freguesias de Setubal,Partido F,232
70,Uniao de Freguesias de Setubal,Partido G,13
71,Uniao de Freguesias de Setubal,Partido A,63
71,Uniao de Freguesias de Setubal,Partido E,28
71,Uniao de Freguesias de Setubal,Partido C,287
71,Uniao de Freguesias de Setubal,Partido F,138
71,Uniao de Freguesias de Setubal,Partido G,9
72,Uniao de Freguesias de Setubal,Partido A,40
72,Uniao de Freguesias de Setubal,Partido E,25
72,Uniao de Freguesias de Setubal,Partido C,179
72,Uniao de Freguesias de Setubal,Partido F,69
72,Uniao de Freguesias de Setubal,Partido G,13
73,Uniao de Freguesias de Setubal,Partido A,103
73,Uniao de Freguesias de Setubal,Partido E,36
73,Uniao de Freguesias de Setubal,Partido C,342
73,Uniao de Freguesias de Setubal,Partido F,166
73,Uniao de Freguesias de Setubal,Partido G,26
74,Uniao de Freguesias de Setubal,Partido A,126
74,Uniao de Freguesias de Setubal,Partido G,11
74,Uniao de Freguesias de Setubal,Partido F,165
74,Uniao de Freguesias de Setubal,Partido C,172
74,Uniao de Freguesias de Setubal,Partido E,39
75,Uniao de Freguesias de Setubal,Partido A,159
75,Uniao de Freguesias de Setubal,Partido G,13
75,Uniao de Freguesias de Setubal,Partido F,133
75,Uniao de Freguesias de Setubal,Partido C,171
75,Uniao de Freguesias de Setubal,Partido E,34
76,Uniao de Freguesias de Setubal,Partido A,27
76,Uniao de Freguesias de Setubal,Partido G,5
76,Uniao de Freguesias de Setubal,Partido F,27
76,Uniao de Freguesias de Setubal,Partido C,57
76,Uniao de Freguesias de Setubal,Partido E,5
77,Uniao de Freguesias de Setubal,Partido A,205
77,Uniao de Freguesias de Setubal,Partido G,14
77,Uniao de Freguesias de Setubal,Partido F,139
77,Uniao de Freguesias de Setubal,Partido C,204
77,Uniao de Freguesias de Setubal,Partido E,56
78,Uniao de Freguesias de Setubal,Partido A,99
78,Uniao de Freguesias de Setubal,Partido G,28
78,Uniao de Freguesias de Setubal,Partido F,103
78,Uniao de Freguesias de Setubal,Partido C,203
78,Uniao de Freguesias de Setubal,Partido E,41
79,Uniao de Freguesias de Setubal,Partido A,217
79,Uniao de Freguesias de Setubal,Partido G,15
