IDMesa,Freguesia,Partido,Votos Junta
31,Sao Sebastiao,Partido F,201
32,Sao Sebastiao,Partido A,99
32,Sao Sebastiao,Partido G,8
32,Sao Sebastiao,Partido C,234
32,Sao Sebastiao,Partido E,23
32,Sao Sebastiao,Partido F,136
33,Sao Sebastiao,Partido A,68
33,Sao Sebastiao,Partido G,11
33,Sao Sebastiao,Partido C,266
33,Sao Sebastiao,Partido E,12
33,Sao Sebastiao,Partido F,230
34,Sao Sebastiao,Partido A,84
34,Sao Sebastiao,Partido G,9
34,Sao Sebastiao,Partido C,212
34,Sao Sebastiao,Partido E,19
34,Sao Sebastiao,Partido F,153
35,Sao Sebastiao,Partido A,70
35,Sao Sebastiao,Partido G,16
35,Sao Sebastiao,Partido C,246
35,Sao Sebastiao,Partido E,33
35,Sao Sebastiao,Partido F,113
36,Sao Sebastiao,Partido A,18
36,Sao Sebastiao,Partido G,5
36,Sao Sebastiao,Partido C,61
36,Sao Sebastiao,Partido E,9
36,Sao Sebastiao,Partido F,24
37,Sao Sebastiao,Partido A,44
37,Sao Sebastiao,Partido G,8
37,Sao Sebastiao,Partido C,268
37,Sao Sebastiao,Partido E,24
37,Sao Sebastiao,Partido F,193
38,Sao Sebastiao,Partido A,68
38,Sao Sebastiao,Partido G,5
38,Sao Sebastiao,Partido C,277
38,Sao Sebastiao,Partido E,18
38,Sao Sebastiao,Partido F,152
39,Sao Sebastiao,Partido A,64
39,Sao Sebastiao,Partido G,7
39,Sao Sebastiao,Partido C,227
39,Sao Sebastiao,Partido E,18
39,Sao Sebastiao,Partido F,116
40,Sao Sebastiao,Partido A,27
40,Sao Sebastiao,Partido G,2
40,Sao Sebastiao,Partido C,93
40,Sao Sebastiao,Partido E,9
40,Sao Sebastiao,Partido F,52
41,Sao Sebastiao,Partido A,63
41,Sao Sebastiao,Partido G,6
41,Sao Sebastiao,Partido C,338
41,Sao Sebastiao,Partido E,18
41,Sao Sebastiao,Partido F,140
42,Sao Sebastiao,Partido A,33
42,Sao Sebastiao,Partido G,6
42,Sao Sebastiao,Partido C,95
42,Sao Sebastiao,Partido E,10
42,Sao Sebastiao,Partido F,45
43,Sao Sebastiao,Partido A,59
43,Sao Sebastiao,Partido G,13
43,Sao Sebastiao,Partido C,327
43,Sao Sebastiao,Partido E,19
43,Sao Sebastiao,Partido F,151
44,Sao Sebastiao,Partido A,58
44,Sao Sebastiao,Partido G,7
44,Sao Sebastiao,Partido C,331
44,Sao Sebastiao,Partido E,25
44,Sao Sebastiao,Partido F,172
45,Sao Sebastiao,Partido A,55
45,Sao Sebastiao,Partido G,15
45,Sao Sebastiao,Partido C,264
45,Sao Sebastiao,Partido E,38
45,Sao Sebastiao,Partido F,122
46,Sao Sebastiao,Partido A,84
46,Sao Sebastiao,Partido G,22
46,Sao Sebastiao,Partido C,270
46,Sao Sebastiao,Partido E,47
46,Sao Sebastiao,Partido F,99
47,Sao Sebastiao,Partido A,81
47,Sao Sebastiao,Partido G,13
47,Sao Sebastiao,Partido C,240
47,Sao Sebastiao,Partido E,50
47,Sao Sebastiao,Partido F,102
48,Sao Sebastiao,Partido A,41
48,Sao Sebastiao,Partido G,8
48,Sao Sebastiao,Partido C,155
48,Sao Sebastiao,Partido E,22
48,Sao Sebastiao,Partido F,74
49,Sao Sebastiao,Partido A,56
49,Sao Sebastiao,Partido G,5
49,Sao Sebastiao,Partido C,369
49,Sao Sebastiao,Partido E,20
49,Sao Sebastiao,Partido F,221
50,Sao Sebastiao,Partido A,47
50,Sao Sebastiao,Partido G,6
50,Sao Sebastiao,Partido C,311
50,Sao Sebastiao,Partido E,26
50,Sao Sebastiao,Partido F,130
51,Sao Sebastiao,Partido A,52
51,Sao Sebastiao,Partido G,8
51,Sao Sebastiao,Partido C,288
51,Sao Sebastiao,Partido E,20
51,Sao Sebastiao,Partido F,102
52,Sao Sebastiao,Partido A,54
52,Sao Sebastiao,Partido G,17
52,Sao Sebastiao,Partido C,236
52,Sao Sebastiao,Partido E,22
52,Sao Sebastiao,Partido F,99
53,Sao Sebastiao,Partido A,41
53,Sao Sebastiao,Partido G,10
53,Sao Sebastiao,Partido C,262
53,Sao Sebastiao,Partido E,17
53,Sao Sebastiao,Partido F,115
54,Sao Sebastiao,Partido A,44
54,Sao Sebastiao,Partido G,9
54,Sao Sebastiao,Partido C,212
54,Sao Sebastiao,Partido E,16
54,Sao Sebastiao,Partido F,86
55,Sao Sebastiao,Partido A,8
55,Sao Sebastiao,Partido G,0
55,Sao Sebastiao,Partido C,78
55,Sao Sebastiao,Partido E,6
55,Sao Sebastiao,Partido F,21
56,Sao Sebastiao,Partido A,14
56,Sao Sebastiao,Partido G,3
56,Sao Sebastiao,Partido C,113
56,Sao Sebastiao,Partido E,4
56,Sao Sebastiao,Partido F,48
57,Sao Sebastiao,Partido A,38
57,Sao Sebastiao,Partido G,15
57,Sao Sebastiao,Partido C,341
57,Sao Sebastiao,Partido E,13
57,Sao Sebastiao,Partido F,139
58,Sao Sebastiao,Partido A,62
58,Sao Sebastiao,Partido G,4
58,Sao Sebastiao,Partido C,177
58,Sao Sebastiao,Partido E,15
58,Sao Sebastiao,Partido F,107
59,Sao Sebastiao,Partido A,36
59,Sao Sebastiao,Partido G,6
59,Sao Sebastiao,Partido C,204
59,Sao Sebastiao,Partido E,16
59,Sao Sebastiao,Partido F,126
60,Uniao de Freguesias de Setubal,Partido A,93
60,Uniao de Freguesias de Setubal,Partido E,27
60,Uniao de Freguesias de Setubal,Partido C,188
60,Uniao de Freguesias de Setubal,Partido F,108
60,Uniao de Freguesias de Setubal,Partido G,12
61,Uniao de Freguesias de Setubal,Partido A,11
61,Uniao de Freguesias de Setubal,Partido E,4
61,Uniao de Freguesias de Setubal,Partido C,91
61,Uniao de Freguesias de Setubal,Partido F,55
61,Uniao de Freguesias de Setubal,Partido G,1
62,Uniao de Freguesias de Setubal,Partido A,8
62,Uniao de Freguesias de Setubal,Partido E,6
62,Uniao de Freguesias de Setubal,Partido C,103
62,Uniao de Freguesias de Setubal,Partido F,52
62,Uniao de Freguesias de Setubal,Partido G,0
63,Uniao de Freguesias de Setubal,Partido A,21
63,Uniao de Freguesias de Setubal,Partido E,5
63,Uniao de Freguesias de Setubal,Partido C,59
63,Uniao de Freguesias de Setubal,Partido F,46
