IDMesa,Freguesia,Partido,Votos Camara
92,Sado,Partido C,463
92,Sado,Partido B,28
92,Sado,Partido D,3
93,Sado,Partido A,47
93,Sado,Partido F,120
93,Sado,Partido G,1
93,Sado,Partido E,7
93,Sado,Partido C,295
93,Sado,Partido B,12
93,Sado,Partido D,1
94,Sado,Partido A,16
94,Sado,Partido F,75
94,Sado,Partido G,4
94,Sado,Partido E,13
94,Sado,Partido C,382
94,Sado,Partido B,9
94,Sado,Partido D,0
95,Sado,Partido A,13
95,Sado,Partido F,42
95,Sado,Partido G,4
95,Sado,Partido E,8
95,Sado,Partido C,179
95,Sado,Partido B,12
95,Sado,Partido D,3
96,Gambia Pontes e Alto da Guerra,Partido F,64
96,Gambia Pontes e Alto da Guerra,Partido G,10
96,Gambia Pontes e Alto da Guerra,Partido A,37
96,Gambia Pontes e Alto da Guerra,Partido E,8
96,Gambia Pontes e Alto da Guerra,Partido C,239
96,Gambia Pontes e Alto da Guerra,Partido B,7
96,Gambia Pontes e Alto da Guerra,Partido D,2
97,Gambia Pontes e Alto da Guerra,Partido F,83
97,Gambia Pontes e Alto da Guerra,Partido G,3
97,Gambia Pontes e Alto da Guerra,Partido A,44
97,Gambia Pontes e Alto da Guerra,Partido E,11
97,Gambia Pontes e Alto da Guerra,Partido C,323
97,Gambia Pontes e Alto da Guerra,Partido B,17
97,Gambia Pontes e Alto da Guerra,Partido D,4
98,Uniao de Freguesias de Azeitao,Partido C,140
98,Uniao de Freguesias de Azeitao,Partido G,8
98,Uniao de Freguesias de Azeitao,Partido E,24
98,Uniao de Freguesias de Azeitao,Partido A,98
98,Uniao de Freguesias de Azeitao,Partido F,40
98,Uniao de Freguesias de Azeitao,Partido B,1
98,Uniao de Freguesias de Azeitao,Partido D,4
99,Uniao de Freguesias de Azeitao,Partido C,82
99,Uniao de Freguesias de Azeitao,Partido G,2
99,Uniao de Freguesias de Azeitao,Partido E,18
99,Uniao de Freguesias de Azeitao,Partido A,47
99,Uniao de Freguesias de Azeitao,Partido F,66
99,Uniao de Freguesias de Azeitao,Partido B,5
99,Uniao de Freguesias de Azeitao,Partido D,2
100,Uniao de Freguesias de Azeitao,Partido C,63
100,Uniao de Freguesias de Azeitao,Partido G,1
100,Uniao de Freguesias de Azeitao,Partido E,6
100,Uniao de Freguesias de Azeitao,Partido A,40
100,Uniao de Freguesias de Azeitao,Partido F,42
100,Uniao de Freguesias de Azeitao,Partido B,3
100,Uniao de Freguesias de Azeitao,Partido D,1
101,Uniao de Freguesias de Azeitao,Partido C,301
101,Uniao de Freguesias de Azeitao,Partido G,4
101,Uniao de Freguesias de Azeitao,Partido E,20
101,Uniao de Freguesias de Azeitao,Partido A,48
101,Uniao de Freguesias de Azeitao,Partido F,150
101,Uniao de Freguesias de Azeitao,Partido B,17
101,Uniao de Freguesias de Azeitao,Partido D,2
102,Uniao de Freguesias de Azeitao,Partido C,266
102,Uniao de Freguesias de Azeitao,Partido G,5
102,Uniao de Freguesias de Azeitao,Partido E,36
102,Uniao de Freguesias de Azeitao,Partido A,68
102,Uniao de Freguesias de Azeitao,Partido F,83
102,Uniao de Freguesias de Azeitao,Partido B,7
102,Uniao de Freguesias de Azeitao,Partido D,1
103,Uniao de Freguesias de Azeitao,Partido C,161
103,Uniao de Freguesias de Azeitao,Partido G,4
103,Uniao de Freguesias de Azeitao,Partido E,21
103,Uniao de Freguesias de Azeitao,Partido A,51
103,Uniao de Freguesias de Azeitao,Partido F,61
103,Uniao de Freguesias de Azeitao,Partido B,5
103,Uniao de Freguesias de Azeitao,Partido D,1
